date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:42:11	442/442	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2020%20Oct%202020%2011:42:11%20GMT	https://www.mcadventuretime.com/robots.txt		(from )
14:42:11	45829/45829	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Oct%202020%2011:42:12%20GMT	https://www.mcadventuretime.com/dc/	C:/Benim%20Web%20Sitem/Site/www.mcadventuretime.com/dc/index.html	(from )
14:42:12	693/693	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2020%20Oct%202020%2011:42:12%20GMT	https://www.mcadventuretime.com/dc/img/1000.png	C:/Benim%20Web%20Sitem/Site/www.mcadventuretime.com/dc/img/1000.png	(from https://www.mcadventuretime.com/dc/)
14:42:12	9467/9467	---M-Z	200	added ('OK')	text/css	date:Sun,%2001%20Mar%202020%2010:16:39%20GMT	https://www.mcadventuretime.com/dc/css/open-iconic-bootstrap.min.css	C:/Benim%20Web%20Sitem/Site/www.mcadventuretime.com/dc/css/open-iconic-bootstrap.min.css	(from https://www.mcadventuretime.com/dc/)
14:42:12	56663/56663	---MCZ	200	added ('OK')	text/css	date:Sun,%2001%20Mar%202020%2010:16:38%20GMT	https://www.mcadventuretime.com/dc/css/animate.css	C:/Benim%20Web%20Sitem/Site/www.mcadventuretime.com/dc/css/animate.css	(from https://www.mcadventuretime.com/dc/)
14:42:12	3217/3217	---MCZ	200	added ('OK')	text/css	date:Sun,%2001%20Mar%202020%2015:38:00%20GMT	https://www.mcadventuretime.com/dc/css/owl.carousel.min2.css	C:/Benim%20Web%20Sitem/Site/www.mcadventuretime.com/dc/css/owl.carousel.min2.css	(from https://www.mcadventuretime.com/dc/)
14:42:12	5236/5236	---MCZ	200	added ('OK')	text/css	date:Sun,%2001%20Mar%202020%2010:16:39%20GMT	https://www.mcadventuretime.com/dc/css/magnific-popup.css	C:/Benim%20Web%20Sitem/Site/www.mcadventuretime.com/dc/css/magnific-popup.css	(from https://www.mcadventuretime.com/dc/)
14:42:13	25948/25948	---MCZ	200	added ('OK')	text/css	date:Sun,%2001%20Mar%202020%2010:16:38%20GMT	https://www.mcadventuretime.com/dc/css/aos.css	C:/Benim%20Web%20Sitem/Site/www.mcadventuretime.com/dc/css/aos.css	(from https://www.mcadventuretime.com/dc/)
14:42:13	46816/46816	---M-Z	200	added ('OK')	text/css	date:Sun,%2001%20Mar%202020%2010:16:39%20GMT	https://www.mcadventuretime.com/dc/css/ionicons.min.css	C:/Benim%20Web%20Sitem/Site/www.mcadventuretime.com/dc/css/ionicons.min.css	(from https://www.mcadventuretime.com/dc/)
14:42:13	16329/16329	---MCZ	200	added ('OK')	text/css	date:Sun,%2001%20Mar%202020%2010:16:38%20GMT	https://www.mcadventuretime.com/dc/css/bootstrap-datepicker.css	C:/Benim%20Web%20Sitem/Site/www.mcadventuretime.com/dc/css/bootstrap-datepicker.css	(from https://www.mcadventuretime.com/dc/)
